Replication,plot,Treatment,blue,green,red,redge,nir,Thermal,L,C1,C2,DAS,MGVRI,SR,NDVI,MSAVI,SAVI,OSAVI,ARVI,EVI,GCI,SIPI,CI(rededge),NDRE,CVI,gNDVI,bNDVI,PI,VARI,ENDVI,GDVI,PSRI,MSRGR,TNDGR,MSR,MCARI,TCARI,MTCI,TCARI/OSAVI,MCARI/OSAVI,RVI,DVI,ARI,ARI2,SRPI,NPCI,VDVI,WDRVI,TVI,RDVI,NDWI
2,6,D10,0.0382853,0.082637727,0.047382277,0.167315111,0.294241488,,1,6,7.5,27-Feb,0.505,6.21,0.723,0.424,0.276,0.571,0.556,0.478,2.561,1.037,0.759,0.275,2.042,0.561,0.77,0.208,0.384,0.662,0.949,-0.12,1.321,0.878,1.94,0.364,1.091,1.058,1.911,0.637,6.21,0.247,6.124,1.802,0.808,0.106,0.317,0.108,16.222,0.422,0.56146307
2,7,D0,0.039147433,0.082850419,0.049906768,0.168858543,0.302886963,,1,6,7.5,27-Feb,0.468,6.069,0.717,0.431,0.281,0.572,0.548,0.483,2.656,1.043,0.794,0.284,2.202,0.57,0.771,0.201,0.352,0.663,0.947,-0.109,1.288,0.865,1.907,0.344,1.033,1.127,1.805,0.602,6.069,0.253,6.148,1.862,0.784,0.121,0.301,0.097,16.497,0.426,0.570430957
2,8,D4,0.038521923,0.082107171,0.049512163,0.167869285,0.309958369,,1,6,7.5,27-Feb,0.467,6.26,0.725,0.442,0.287,0.582,0.557,0.494,2.775,1.042,0.846,0.297,2.276,0.581,0.779,0.198,0.35,0.672,0.95,-0.105,1.288,0.865,1.952,0.343,1.029,1.201,1.77,0.59,6.26,0.26,6.222,1.929,0.778,0.125,0.302,0.112,16.931,0.434,0.58115589
3,9,I,0.042299416,0.091842398,0.054738384,0.191715017,0.347796649,,1,6,7.5,27-Feb,0.476,6.354,0.728,0.484,0.313,0.604,0.562,0.539,2.787,1.042,0.814,0.289,2.257,0.582,0.783,0.201,0.356,0.677,0.952,-0.107,1.295,0.868,1.974,0.41,1.229,1.139,2.034,0.678,6.354,0.293,5.672,1.973,0.773,0.128,0.309,0.119,19.068,0.462,0.582191807
3,10,D4,0.040965214,0.089752749,0.052752927,0.18872489,0.337428331,,1,6,7.5,27-Feb,0.486,6.396,0.73,0.474,0.307,0.6,0.564,0.528,2.76,1.041,0.788,0.283,2.21,0.58,0.783,0.204,0.364,0.678,0.952,-0.11,1.304,0.872,1.984,0.416,1.247,1.094,2.077,0.692,6.396,0.285,5.843,1.972,0.777,0.126,0.314,0.123,18.561,0.456,0.579790617
3,11,D10,0.039702199,0.088569894,0.050015166,0.190640077,0.356665075,,1,6,7.5,27-Feb,0.516,7.131,0.754,0.509,0.327,0.628,0.597,0.564,3.027,1.034,0.871,0.303,2.274,0.602,0.8,0.198,0.39,0.697,0.961,-0.108,1.331,0.882,2.15,0.458,1.375,1.181,2.19,0.73,7.131,0.307,6.045,2.156,0.794,0.115,0.328,0.176,19.941,0.481,0.602143137
3,12,D0,0.040037513,0.085420541,0.052768204,0.177337572,0.319706559,,1,6,7.5,27-Feb,0.448,6.059,0.717,0.448,0.292,0.582,0.546,0.499,2.743,1.048,0.803,0.286,2.312,0.578,0.777,0.199,0.333,0.67,0.947,-0.102,1.272,0.858,1.904,0.357,1.071,1.143,1.841,0.614,6.059,0.267,6.068,1.94,0.759,0.137,0.296,0.096,17.322,0.437,0.578302508
4,13,I,0.041227479,0.089993671,0.053109579,0.191119611,0.358226329,,1,6,7.5,27-Feb,0.483,6.745,0.742,0.503,0.324,0.619,0.58,0.558,2.981,1.039,0.874,0.304,2.349,0.598,0.794,0.195,0.362,0.689,0.957,-0.103,1.302,0.87,2.064,0.424,1.272,1.211,2.053,0.684,6.745,0.305,5.88,2.106,0.776,0.126,0.312,0.149,19.782,0.476,0.598439735
4,14,D0,0.038281523,0.085225597,0.048064999,0.183436528,0.33342424,,1,6,7.5,27-Feb,0.517,6.937,0.748,0.481,0.31,0.611,0.589,0.534,2.912,1.034,0.818,0.29,2.206,0.593,0.794,0.201,0.391,0.691,0.959,-0.111,1.332,0.882,2.107,0.442,1.325,1.108,2.168,0.723,6.937,0.285,6.282,2.095,0.796,0.113,0.328,0.162,18.608,0.462,0.592854985
4,15,D4,0.040306337,0.087550648,0.054193422,0.181248277,0.318563163,,1,6,7.5,27-Feb,0.446,5.878,0.709,0.443,0.289,0.576,0.536,0.493,2.639,1.053,0.758,0.275,2.252,0.569,0.775,0.207,0.329,0.669,0.944,-0.105,1.271,0.858,1.86,0.362,1.087,1.081,1.888,0.629,5.878,0.264,5.905,1.881,0.744,0.147,0.299,0.081,17.196,0.433,0.568836884
4,16,D10,0.041072577,0.087650515,0.0578002,0.183871254,0.327352554,,1,6,7.5,27-Feb,0.394,5.664,0.7,0.446,0.292,0.574,0.522,0.493,2.735,1.062,0.78,0.281,2.463,0.578,0.777,0.199,0.286,0.67,0.94,-0.091,1.231,0.84,1.807,0.34,1.019,1.138,1.777,0.592,5.664,0.27,5.97,1.954,0.711,0.169,0.279,0.062,17.367,0.434,0.577591003
1,1,I,0.036821872,0.072332405,0.053585697,0.143878087,0.263435692,32.02149094,1,6,7.5,05-Mar,0.291,4.916,0.662,0.36,0.239,0.51,0.474,0.401,2.642,1.08,0.831,0.294,2.698,0.569,0.755,0.186,0.21,0.64,0.921,-0.071,1.162,0.806,1.61,0.204,0.612,1.324,1.199,0.4,4.916,0.21,6.875,1.811,0.687,0.185,0.231,-0.008,13.341,0.373,0.569152605
1,2,D4,0.050837476,0.090666905,0.073662914,0.167388573,0.294405431,37.52845764,1,6,7.5,05-Mar,0.205,3.997,0.6,0.359,0.242,0.485,0.402,0.407,2.247,1.103,0.759,0.275,2.638,0.529,0.705,0.176,0.15,0.582,0.882,-0.058,1.109,0.777,1.341,0.178,0.534,1.355,1.102,0.367,3.997,0.221,5.055,1.488,0.69,0.183,0.186,-0.112,13.925,0.364,0.529091568
1,3,D0,0.05384282,0.093730703,0.079310022,0.168343693,0.286009014,38.45661163,1,6,7.5,05-Mar,0.166,3.606,0.566,0.334,0.227,0.456,0.364,0.381,2.051,1.123,0.699,0.259,2.582,0.506,0.683,0.177,0.121,0.558,0.857,-0.05,1.087,0.764,1.214,0.157,0.472,1.322,1.034,0.345,3.606,0.207,4.729,1.352,0.679,0.191,0.169,-0.162,12.979,0.342,0.506342377
1,4,D10,0.053195897,0.093215339,0.078804292,0.168924615,0.288287133,37.14610291,1,6,7.5,05-Mar,0.166,3.658,0.571,0.338,0.23,0.461,0.368,0.384,2.093,1.122,0.707,0.261,2.615,0.511,0.688,0.177,0.121,0.564,0.861,-0.05,1.088,0.764,1.232,0.161,0.482,1.324,1.046,0.349,3.658,0.209,4.808,1.386,0.675,0.194,0.171,-0.155,13.145,0.346,0.511325111
2,5,I,0.039359037,0.077531256,0.058568344,0.149368271,0.263043284,32.67645391,1,6,7.5,05-Mar,0.273,4.491,0.636,0.347,0.232,0.492,0.442,0.387,2.393,1.094,0.761,0.276,2.563,0.545,0.74,0.195,0.196,0.625,0.906,-0.072,1.151,0.8,1.49,0.195,0.585,1.252,1.187,0.396,4.491,0.204,6.203,1.632,0.672,0.196,0.226,-0.054,13.027,0.361,0.54470316
2,6,D10,0.050457064,0.090388104,0.07297834,0.165888935,0.297949284,38.9832325,1,6,7.5,05-Mar,0.211,4.083,0.607,0.366,0.246,0.492,0.41,0.414,2.296,1.1,0.796,0.285,2.661,0.534,0.71,0.176,0.154,0.587,0.887,-0.058,1.113,0.779,1.367,0.177,0.531,1.421,1.08,0.36,4.083,0.225,5.035,1.5,0.691,0.182,0.188,-0.101,14.195,0.369,0.534486728
2,7,D0,0.054910664,0.095086649,0.081472851,0.167236164,0.284030944,40.07123184,1,6,7.5,05-Mar,0.153,3.486,0.554,0.326,0.223,0.447,0.351,0.372,1.987,1.131,0.698,0.259,2.559,0.498,0.676,0.178,0.112,0.551,0.848,-0.048,1.08,0.76,1.174,0.146,0.439,1.362,0.982,0.327,3.486,0.203,4.537,1.289,0.674,0.195,0.165,-0.178,12.698,0.335,0.498379127
2,8,D4,0.054155398,0.095672555,0.080272399,0.170796111,0.291543782,38.35936864,1,6,7.5,05-Mar,0.174,3.632,0.568,0.34,0.231,0.461,0.366,0.386,2.047,1.124,0.707,0.261,2.557,0.506,0.687,0.181,0.126,0.563,0.859,-0.053,1.092,0.767,1.223,0.161,0.482,1.334,1.046,0.349,3.632,0.211,4.597,1.34,0.675,0.194,0.175,-0.158,13.292,0.346,0.505844429
3,9,I,0.039398484,0.081981905,0.058694869,0.16703169,0.297164738,32.47937322,1,6,7.5,05-Mar,0.322,5.063,0.67,0.399,0.264,0.536,0.483,0.44,2.625,1.081,0.779,0.28,2.595,0.568,0.766,0.198,0.23,0.656,0.925,-0.078,1.182,0.816,1.65,0.26,0.78,1.201,1.454,0.485,5.063,0.238,6.211,1.846,0.671,0.197,0.251,0.006,15.24,0.4,0.567545136
3,10,D4,0.049364377,0.096579008,0.07197915,0.186303034,0.322042018,37.88520432,1,6,7.5,05-Mar,0.286,4.474,0.635,0.403,0.269,0.524,0.441,0.452,2.334,1.09,0.729,0.267,2.485,0.539,0.734,0.196,0.206,0.618,0.905,-0.076,1.158,0.804,1.485,0.249,0.748,1.187,1.429,0.476,4.474,0.25,4.987,1.606,0.686,0.186,0.228,-0.056,15.988,0.398,0.538585011
3,11,D10,0.047965229,0.096051931,0.068718791,0.189762905,0.335852265,38.48889542,1,6,7.5,05-Mar,0.323,4.887,0.66,0.43,0.285,0.549,0.473,0.481,2.497,1.078,0.77,0.278,2.502,0.555,0.75,0.195,0.234,0.637,0.92,-0.081,1.182,0.816,1.602,0.283,0.848,1.207,1.544,0.515,4.887,0.267,5.141,1.727,0.698,0.178,0.244,-0.011,17.121,0.42,0.555216495
3,12,D0,0.052203756,0.096632957,0.078525946,0.181478381,0.306753039,37.7846489,1,6,7.5,05-Mar,0.205,3.906,0.592,0.366,0.247,0.486,0.391,0.412,2.174,1.115,0.69,0.257,2.58,0.521,0.709,0.188,0.147,0.589,0.877,-0.059,1.109,0.777,1.312,0.199,0.596,1.217,1.228,0.409,3.906,0.228,4.838,1.484,0.665,0.201,0.193,-0.123,14.418,0.368,0.520890869
4,13,I,0.039351631,0.082031637,0.059212927,0.169413939,0.310583085,32.29789882,1,6,7.5,05-Mar,0.315,5.245,0.68,0.418,0.275,0.55,0.494,0.458,2.786,1.079,0.833,0.294,2.733,0.582,0.775,0.193,0.224,0.666,0.93,-0.073,1.177,0.813,1.699,0.265,0.796,1.281,1.446,0.482,5.245,0.251,6.288,1.953,0.665,0.202,0.249,0.024,15.995,0.413,0.582126536
4,14,D0,0.049201258,0.096493594,0.072446704,0.187891304,0.327839494,36.27165985,1,6,7.5,05-Mar,0.279,4.525,0.638,0.41,0.274,0.529,0.445,0.458,2.398,1.091,0.745,0.271,2.551,0.545,0.739,0.194,0.201,0.624,0.907,-0.073,1.154,0.801,1.5,0.252,0.756,1.212,1.43,0.477,4.525,0.255,5.041,1.653,0.679,0.191,0.227,-0.05,16.285,0.404,0.545198823
4,15,D4,0.051746324,0.097805619,0.079236418,0.184406057,0.307516575,37.75461006,1,6,7.5,05-Mar,0.207,3.881,0.59,0.365,0.247,0.484,0.388,0.409,2.144,1.12,0.668,0.25,2.547,0.517,0.712,0.195,0.148,0.593,0.875,-0.06,1.111,0.778,1.304,0.204,0.613,1.171,1.266,0.422,3.881,0.228,4.802,1.477,0.653,0.21,0.198,-0.126,14.44,0.367,0.517393222
4,16,D10,0.050747436,0.099126101,0.077918224,0.192432567,0.320413113,36.27705002,1,6,7.5,05-Mar,0.236,4.112,0.609,0.387,0.26,0.504,0.409,0.431,2.232,1.112,0.665,0.25,2.541,0.527,0.727,0.199,0.168,0.61,0.888,-0.066,1.128,0.787,1.376,0.237,0.71,1.118,1.41,0.47,4.112,0.242,4.892,1.567,0.651,0.211,0.213,-0.097,15.398,0.384,0.527452511
1,1,I,0.04638746,0.08807905,0.061335161,0.163035884,0.311781526,34.66484367,1,6,7.5,12-Mar,0.347,5.083,0.671,0.414,0.274,0.545,0.49,0.47,2.54,1.06,0.912,0.313,2.465,0.559,0.741,0.182,0.26,0.623,0.925,-0.086,1.198,0.824,1.656,0.23,0.691,1.463,1.269,0.423,5.083,0.25,5.22,1.627,0.756,0.139,0.241,0.008,16.097,0.41,0.559451192
1,2,D4,0.059605081,0.107131824,0.078783549,0.188295662,0.351748794,39.0431633,1,6,7.5,12-Mar,0.298,4.465,0.634,0.428,0.286,0.536,0.446,0.495,2.283,1.07,0.868,0.303,2.415,0.533,0.71,0.177,0.224,0.588,0.904,-0.081,1.166,0.808,1.482,0.223,0.669,1.493,1.247,0.416,4.465,0.273,4.023,1.415,0.757,0.139,0.215,-0.057,17.512,0.416,0.533073223
1,3,D0,0.061806098,0.109328806,0.084067442,0.187206849,0.341047168,40.27684784,1,6,7.5,12-Mar,0.257,4.057,0.604,0.401,0.27,0.509,0.411,0.465,2.119,1.087,0.822,0.291,2.399,0.514,0.693,0.179,0.192,0.569,0.885,-0.074,1.14,0.794,1.359,0.195,0.585,1.492,1.148,0.383,4.057,0.257,3.805,1.298,0.735,0.153,0.2,-0.104,16.429,0.394,0.51449983
1,4,D10,0.061012253,0.107869066,0.083587252,0.188015327,0.343897074,38.07954025,1,6,7.5,12-Mar,0.25,4.114,0.609,0.406,0.274,0.514,0.416,0.469,2.188,1.087,0.829,0.293,2.47,0.522,0.699,0.176,0.186,0.575,0.888,-0.071,1.136,0.792,1.377,0.199,0.597,1.493,1.161,0.387,4.114,0.26,3.952,1.359,0.73,0.156,0.197,-0.097,16.59,0.398,0.522456172
2,5,I,0.050495505,0.097249687,0.068994999,0.17685625,0.333463669,35.35532761,1,6,7.5,12-Mar,0.33,4.833,0.657,0.426,0.283,0.545,0.471,0.483,2.429,1.07,0.886,0.307,2.433,0.548,0.737,0.189,0.244,0.62,0.918,-0.085,1.187,0.819,1.587,0.236,0.707,1.452,1.296,0.432,4.833,0.264,4.628,1.543,0.732,0.155,0.239,-0.017,16.998,0.417,0.548425023
2,6,D10,0.058269486,0.104369298,0.076727435,0.183232158,0.352090627,40.3711319,1,6,7.5,12-Mar,0.298,4.589,0.642,0.433,0.289,0.542,0.456,0.501,2.374,1.067,0.922,0.315,2.48,0.543,0.716,0.173,0.225,0.593,0.909,-0.079,1.166,0.808,1.518,0.217,0.65,1.585,1.198,0.399,4.589,0.275,4.124,1.452,0.759,0.137,0.215,-0.043,17.627,0.421,0.542701156
2,7,D0,0.062694706,0.108435072,0.085621931,0.18338722,0.331901819,41.21202278,1,6,7.5,12-Mar,0.232,3.876,0.59,0.385,0.261,0.495,0.395,0.448,2.061,1.093,0.81,0.288,2.417,0.507,0.682,0.175,0.174,0.557,0.875,-0.069,1.125,0.786,1.303,0.177,0.532,1.519,1.075,0.358,3.876,0.246,3.769,1.251,0.732,0.155,0.188,-0.127,15.689,0.381,0.507490405
2,8,D4,0.061844446,0.109085798,0.084521212,0.185898989,0.337429225,39.60024261,1,6,7.5,12-Mar,0.25,3.992,0.599,0.395,0.267,0.504,0.405,0.458,2.093,1.09,0.815,0.29,2.397,0.511,0.69,0.179,0.186,0.566,0.882,-0.073,1.136,0.792,1.339,0.189,0.568,1.495,1.126,0.375,3.992,0.253,3.788,1.278,0.732,0.155,0.197,-0.112,16.157,0.389,0.511390245
